Whiting Oil & Gas,,,,,,,,,,,,
Horsetail 08D 1701,,,,,,,,,,,,
"Weld County, Colorado (NAD 83)",,,,,,,,,,,,
North Reference: True,,,,,,,,,,,,
KB-MSL: 4974.70 ,,,,,,,,,,,,
Ground Level: 4956.20 ,,,,,,,,,,,,
Design #1,,,,,,,,,,,,
,,,,,,,,,,,,
 , , , , , , , , , ,Dogleg,,
MD,INC,AZI,TVD,N/-S,E/-W,X,Y,Lat,Long,Severity,Vert Sec,
,,,,,,,,,,,,
5700,50.711,184.914,5602.433,110.979,-175.812,3474583.798,1560762.567,40° 51' 36.236 N,103° 47' 3.270 W,11,-107.703, 
5750,56.165,184.024,5632.206,70.955,-178.929,3474581.457,1560722.491,40° 51' 35.841 N,103° 47' 3.310 W,11,-67.628, 
5800,61.624,183.242,5658.028,28.247,-181.632,3474579.581,1560679.738,40° 51' 35.419 N,103° 47' 3.345 W,11,-24.877, 
5850,67.087,182.536,5679.659,-16.754,-183.897,3474578.188,1560634.702,40° 51' 34.974 N,103° 47' 3.375 W,11,20.158, 
5900,72.553,181.885,5696.901,-63.632,-185.702,3474577.29,1560587.798,40° 51' 34.511 N,103° 47' 3.398 W,11,67.061, 
5950,78.021,181.273,5709.595,-111.955,-187.031,3474576.897,1560539.457,40° 51' 34.033 N,103° 47' 3.416 W,11,115.401, 
6000,83.491,180.684,5717.624,-161.28,-187.871,3474577.012,1560490.126,40° 51' 33.546 N,103° 47' 3.427 W,11,164.733, 
6050,88.96,180.109,5720.914,-211.151,-188.215,3474577.633,1560440.257,40° 51' 33.053 N,103° 47' 3.431 W,11,214.602, 
6059.502,90,180,5721,-220.652,-188.224,3474577.808,1560430.758,40° 51' 32.959 N,103° 47' 3.431 W,11,224.102,Begin 90.00° Lateral
6100,90,180,5721,-261.151,-188.224,3474578.592,1560390.267,40° 51' 32.559 N,103° 47' 3.431 W,0,264.593, 
6200,90,180,5721,-361.151,-188.224,3474580.527,1560290.286,40° 51' 31.571 N,103° 47' 3.431 W,0,364.576, 
6300,90,180,5721,-461.151,-188.223,3474582.463,1560190.305,40° 51' 30.583 N,103° 47' 3.431 W,0,464.559, 
6400,90,180,5721,-561.151,-188.223,3474584.399,1560090.323,40° 51' 29.595 N,103° 47' 3.431 W,0,564.542, 
6500,90,180,5721,-661.151,-188.222,3474586.335,1559990.342,40° 51' 28.607 N,103° 47' 3.431 W,0,664.524, 
6600,90,180,5721,-761.151,-188.222,3474588.271,1559890.361,40° 51' 27.619 N,103° 47' 3.431 W,0,764.507, 
6700,90,180,5721,-861.151,-188.221,3474590.207,1559790.38,40° 51' 26.631 N,103° 47' 3.431 W,0,864.49, 
6800,90,180,5721,-961.151,-188.221,3474592.143,1559690.398,40° 51' 25.643 N,103° 47' 3.431 W,0,964.473, 
